time,I,pol,r,ar,cc,V_tot,kind,net_type
1,1.17,0.2,0.2,16,0.002,64.96826148204984,std,static
2,5.81,0.2,0.2,21,0.04,929,mean,static
2,2.31,0.2,0.2,16,0.002,64.96826148204984,std,static
3,6.66,0.2,0.2,21,0.04,929,mean,static
3,3.47,0.2,0.2,16,0.002,64.96826148204984,std,static
4,7.62,0.2,0.2,21,0.04,929,mean,static
4,5.71,0.2,0.2,16,0.002,64.96826148204984,std,static
5,8.19,0.2,0.2,21,0.04,929,mean,static
5,6.36,0.2,0.2,16,0.002,64.96826148204984,std,static
6,9.12,0.2,0.2,21,0.04,929,mean,static
6,8.16,0.2,0.2,16,0.002,64.96826148204984,std,static
